# Step   Time     sin1        cos1        sin2        cos2        h1          h2 
241   2.4100   -0.103158    0.994665    0.689233    0.724540    0.005335    0.280795
242   2.4200   -0.123124    0.992391    0.742745    0.669575    0.007609    0.338034
243   2.4300   -0.139800    0.990180    0.790112    0.612963    0.009820    0.396857
244   2.4400   -0.153427    0.988160    0.831784    0.555099    0.011840    0.456741
245   2.4500   -0.164219    0.986424    0.868152    0.496299    0.013576    0.517278
246   2.4600   -0.172360    0.985034    0.899548    0.436821    0.014966    0.578145
247   2.4700   -0.178012    0.984028    0.926258    0.376890    0.015972    0.639082
248   2.4800   -0.181310    0.983426    0.948525    0.316702    0.016574    0.699872
249   2.4900   -0.182377    0.983229    0.966560    0.256440    0.016771    0.760331
250   2.5000   -0.181317    0.983425    0.980549    0.196275    0.016575    0.820301
251   2.5100   -0.178224    0.983990    0.990658    0.136369    0.016010    0.879641
252   2.5200   -0.173186    0.984889    0.997040    0.076883    0.015111    0.938228
253   2.5300   -0.166281    0.986078    0.999838    0.017973    0.013922    0.995948
254   2.5400   -0.157588    0.987505    0.999191   -0.040204    0.012495    1.052699
255   2.5500   -0.147179    0.989110    0.995236   -0.097496    0.010890    1.108386
256   2.5600   -0.135130    0.990828    0.988109   -0.153752    0.009172    1.162924
257   2.5700   -0.121517    0.992589    0.977953   -0.208824    0.007411    1.216235
258   2.5800   -0.106416    0.994322    0.964913   -0.262569    0.005678    1.268247
259   2.5900   -0.089911    0.995950    0.949142   -0.314850    0.004050    1.318900
260   2.6000   -0.072084    0.997399    0.930797   -0.365536    0.002601    1.368138
261   2.6100   -0.053026    0.998593    0.910046   -0.414508    0.001407    1.415915
262   2.6200   -0.032828    0.999461    0.887060   -0.461655    0.000539    1.462194
263   2.6300   -0.011588    0.999933    0.862018   -0.506878    0.000067    1.506945
264   2.6400    0.010594    0.999944    0.835103   -0.550094    0.000056    1.550150
265   2.6500    0.033613    0.999435    0.806501   -0.591232    0.000565    1.591797
266   2.6600    0.057364    0.998353    0.776403   -0.630237    0.001647    1.631883
267   2.6700    0.081738    0.996654    0.744996   -0.667068    0.003346    1.670415
268   2.6800    0.106627    0.994299    0.712469   -0.701703    0.005701    1.707404
269   2.6900    0.131921    0.991260    0.679007   -0.734132    0.008740    1.742872
270   2.7000    0.157513    0.987517    0.644788   -0.764362    0.012483    1.776845
271   2.7100    0.183296    0.983058    0.609986   -0.792412    0.016942    1.809355
